	text	label	label_text

0	 Prolog. 	0	narrator

1	Es war an einem Abende in der Mitte des Septembers 1849, als unter den Bäumen des Parks vor City-Hall in New-York ein junger Mann lässig auf einer der dort angebrachten Bänke ruhte.	0	narrator

2	Er hatte den Strohhut abgenommen und das volle dunkle Haar der Abendluft preisgegeben.	0	narrator

3	Die Sommerkleidung, die er trug, war sauber und von elegantem Schnitte und das strohgelbe seidene Halstuch, über welches zwanglos der blendend weiße Kragen fiel, stach gefällig von seinem leicht gebräunten, kräftigen Halse ab.	0	narrator

4	Eine fein geschnittene Nase, mit dem schwarzen, wohlgepflegten Schnurrbarte darunter und den regelmäßig gezeichneten Brauen darüber	0	narrator

5	, gaben seinem Gesichte einen Anstrich von Noblesse, während die zwei Furchen an der Nasenwurzel und das leicht in die Höhe gezogene Kinn ihm den Charakter einer festen Bestimmtheit aufdrückten. Seine Augen hatten bisher planlos über alle die Gestalten, welche geschäftig den Platz durchkreuzten, hinweg geschweift;	0	narrator

6	in diesem Augenblicke aber waren sie plötzlich auf einem Punkte haften geblieben, der sein besonderes Interesse zu erregen schien.	0	narrator

7	Vom Broadway aus war eine der fashionable gekleideten Damen, wie sie diesen Theil der Stadt bevölkern, in den Park getreten und bog jetzt in einen Seitenweg ein, der dicht an dem Sitze des jungen Mannes vorüberführte. »Da ist sie wahrhaftig wieder, und dies ist heute der dritte Abend, an dem sie um dieselbe Zeit kommt!«	1	character

8	brummte der Dasitzende vor sich hin.	0	narrator

9	»Wäre ich eitel, so könnte ich denken, ich hätte eine Eroberung gemacht!«	1	character

10	Die Dame näherte sich.	0	narrator

11	Unter dem eleganten Hut sah ein frisches, kokettes Gesicht hervor und den kleinen aufgeworfenen Mund umspielte ein Lächeln der Befriedigung, als sie den Inhaber der Bank bemerkte.	0	narrator

12	Ihr Schritt zögerte, als sei sie ungewiß, was zu thun;	0	narrator

13	doch wie in raschem Entschlusse trat sie plötzlich heran und wandte sich mit einigen halblauten Worten an den jungen Mann.	0	narrator

14	Der war überrascht aufgesprungen, denn er konnte nur in peinlicher Verlegenheit den Kopf schütteln;	0	narrator

15	er wußte wohl, was er höre, sei englisch, aber er verstand bis jetzt noch kein Wort	0	narrator

16	davon	0	narrator

17	Ein neues Lächeln umspielte den hübschen Mund vor ihm – sie ließ die Augen prüfend über sein Gesicht laufen, fast etwas zu dreist, wie es ihm scheinen wollte; 	0	narrator

18	als sich jetzt aber die Schritte eines Dritten der Bank näherten, wandte sie sich mit einem »Beg your pardon, Sir!« weg und ging davon.	1	character

19	Der Andere sah ihr kopfschüttelnd nach, bis ihn ein Schlag auf die Achsel aus seiner Verwunderung riß. 	0	narrator

20	»Guten Abend, Herr von Helmstedt, wie geht's Hochdenen	1	character

21	?« klang die Stimme des Angekommenen, der indessen in seinem abgetragenen, bis an den Hals zugeknöpften Rocke und dem alten schwarzen Hute, der schon theilweise der Krempe untreu geworden war, einen auffallenden Contrast mit dem Ersteren bildete.	0	narrator

22	»Ich sehe, Sie bewundern die schöne Natur in allen ihren Branchen,« setzte er hinzu, mit dem Kopfe nach der forteilenden Frauengestalt hindeutend, »es sollte mir leid thun, wenn ich gestört hätte!« »Hat nichts zu sagen,« erwiderte Jener und nahm seinen früheren Platz ein, »ich möchte mich nur todtärgern, daß ich so ein Dummkopf im Englischsprechen bin.	1	character

23	Ueber zwei Monate schon treibe ich mich hier herum und kann noch nicht einmal eine einzige Frage verstehen!« »	1	character

24	Ich habe Ihnen das vom Anfange an prophezeit,« sagte der neue Gefährte, indem er sich mit der aristokratischen Nachlässigkeit eines Berliner Gardelieutenants auf die Bank warf, »Sie wollen aber von meiner Methode, schnell und gründlich in die Geheimnisse der Sprache zu dringen, nichts wissen.	1	character

25	Apropos!	1	character

26	Haben sie nicht eine Cigarre bei sich?	1	character

27	Ich war heute zufällig etwas zu derangirt, um mir neuen Vorrath kaufen zu können, und ich vermisse lieber eine Mahlzeit, als meine gewöhnliche Cigarre.« Helmstedt hatte ihm schon sein Etui hingehalten, aus welchem sich der Andere bediente, hierauf in seiner sich bescheiden verbergenden Weste ein Schwefelholz suchte und bald mit der Miene eines Kenners den blauen Rauch in die Luft blies.	1	character

28	»Ja,« fuhr er dann behaglich fort, »ich bin doch kaum achtzehn Monate länger hier als Sie, aber ich kann wirklich sagen, daß ich in den meisten New-Yorker Verhältnissen vollkommen zu Hause bin, und meine augenblickliche Lage würde auch eine bessere sein, hätte ich in den letzten Monaten nicht positives Malheur gehabt.	1	character

29	Erstlich hatte meine letzte Freundin, deren Wohnung ich theilte, die seltsame Marotte, daß ich ihr Geld nicht zum Spiele verwenden solle – und als ich ihr darin nicht willfahren konnte, finde ich mich am Morgen nach einer etwas wilden Nacht allein in dem vollkommen ausgeräumten Quartiere, verlassen von dem tollen Mädchen und von allen Existenzmitteln.	1	character

30	Ich gehe nun nothgedrungen in ein Boardinghaus, werde aber hier schon nach der ausgebliebenen Zahlung für die erste Woche freundlich ersucht, Raum zu machen, und gegen alles Gesetz werden mir auch noch meine Habseligkeiten inne behalten.	1	character

31	Die Wirthe werden jetzt wirklich jeden Tag gemeiner und illiberaler.	1	character

32	Indessen,« fuhr er fort, zwei wohlgelungene Ringel in die Luft blasend, »ich habe bereits wieder Aussichten;	1	character

33	es ist merkwürdig, wie hier ein nobles Air geliebt wird!« Helmstedts Augen überliefen bei diesen Worten die äußere Erscheinung seines Gefährten und er konnte ein halb sarkastisches Lächeln nicht unterdrücken.	1	character

34	O, Sie verziehen den Mund über mein jetziges Derangement,« fuhr der Redende gemessen fort, »was wollen Sie aber, lieber Freund?	1	character

35	In einiger Zeit sind Sie vielleicht genau in demselben Zustande, ohne aber die Mittel zu besitzen, sich zu helfen, wie ich es kann.	1	character

36	Sie verschleudern jetzt Zeit und Geld, um hier eine Stellung für Sie zu finden, wie sie gar nicht existirt.	1	character

37	Sie leiden an derselben Krankheit, woran jährlich Hunderte von gebildeten jungen Deutschen hier zu Grunde gehen.	1	character

38	Hacken und graben mögen sie nicht, ein Handwerk versteht Keiner, nach dem Westen zu gehen 	1	character

39	fürchten sie sich und nun suchen sie noch Stellungen als Ladendiener, Schreiber, Lehrer oder dergleichen, ohne auch nur das Haupterforderniß, das Verständniß der Landessprache, zu besitzen.	1	character

40	Das dauert so lange, als das mitgebrachte Geld vorhält, und die Hoffnungen schwinden erst, wenn der Credit im Boardinghause gekündigt wird. 	1	character

