	text	label	label_text

0	 Erstes Capitel Gobelins Die kalten Strahlen einer halbverschleierten Wintersonne brachen sich auf den Eisflächen der Pegnitz.	0	narrator

1	Frisch gefallener Schnee lag auf den Dächern von Nürnberg, schmückte die zierlichen Giebelkanten mit glänzendweißem Besatz und wölbte über jedes Chörlein noch einen zweiten Baldachin, so weich und anschmiegend, als sei er aus sammetener Decke gewoben.	0	narrator

2	Aus den Essen wirbelte grauer Rauch empor, am dichtesten aus den hohen Schornsteinen der Gießhütten.	0	narrator

3	In dem mit Marmor und Eisengittern von durchbrochener Gießarbeit verziertem Kamin in Elisabeth Scheurl's Wohnzimmer brannten große Eichenknorren, um den weiten Raum mit behaglicher Wärme zu erfüllen.	0	narrator

4	Die Thür des Nebenzimmers stand offen und auch darin loderte ein prasselndes Feuer.	0	narrator

5	Dies Gemach erschien zu einem Arbeitszimmer umgeschaffen.	0	narrator

6	An der Wand befand sich eine große Holztafel, auf deren himmelblauem Grund eine Auferstehung Christi gemalt war.	0	narrator

7	Der Engel des Herrn saß im leuchtenden Gewand im Grabe, die Jünger und Frauen standen bestürzt davor, zur rechten Seite zeigte sich der Auferstandene, die ganze Gestalt vom goldenen Heiligenschein umflossen.	0	narrator

8	Die Farben waren sehr bunt und lebhaft, die Gestalten lang gezogen und eckig, aber einzelne Gesichter von sprechendem Ausdruck.	0	narrator

9	In der im Vordergrund stehenden Maria Magdalena erkannte man ohne Mühe Elisabeth's Conterfei.	0	narrator

10	Daneben lehnten noch kleinere Holztafeln mit schwebenden oder betenden Engeln, umgeben von Palmen oder Sternen, aus denen meist Ecken in verschiedenen Zusammensetzungen gebildet waren.	0	narrator

11	An den beiden hohen Bogenfenstern, von denen die schweren Damastvorhänge zurückgeschoben waren, um ungehindert alles Licht einzulassen, das die kurzen Wintertage spendeten, standen zwei ungeheure Stickrahmen, noch nicht groß genug, um den Stoff zu fassen, der darin verarbeitet werden sollte, und darum noch an den Seiten aufgerollt war.	0	narrator

12	Hier sah man ein mühevolles Werk weiblicher kunstgeübter Hände begonnen.	0	narrator

13	Das große aufgestellte Gemälde von der Hand des Malers Hans Beuerlein diente als Muster, und sollte sich hier in damals üblichem Gobelinsstich noch einmal wiederholen.	0	narrator

14	Ganze Körbe, von Wolle und Seide in strahlenden Farben, und mit Gold und Silberfaden angefüllt, standen bereit, das reichste Material zur Verarbeitung zu bieten.	0	narrator

15	Etwa seit Jahresfrist war Elisabeth auf den Gedan ken gekommen, die Töchter der edlen Geschlechter Nürnbergs aufzufordern, mit ihr vereint einen Teppich vor das Hochaltar der Kirche von St. Lorenz zu sticken, an deren Verschönerung gerade jetzt so begeistert gearbeitet ward.	0	narrator

16	War doch damals alle Kunst zu einem Ganzen vereint in der Kirche und strebte alle Kunstbegeisterung diesem erhabenen Mittelpunkt zu – so auch die der Frauen.	0	narrator

17	Elisabeth aber ging immer Allen gern mit einem leuchtenden Beispiel voraus, stand immer gern an der Spitze und ordnete Alles nach ihrem Sinn und Geschmack, der denn auch durch seine Veredlung und Reinheit berufen war, vor dem Anderer zur Geltung zu kommen.	0	narrator

18	Ihr geachteter Name wie ihr Reichthum fielen dabei nicht minder in die Wagschaale, und auch ihre Feindinnen und Neiderinnen mußten sich damit begnügen, sie im Stillen zu verspotten und zu verleumden, öffentlich aber ihr den Vorrang zu lassen und persönlich ihr höflich zu begegnen.	0	narrator

19	Bei einem so regen Geiste, wie dem Elisabeth's, und einem so glühenden Herzen, wie in ihrer Brust schlug, dem sie doch nicht mehr die einstige laute Sprache gestatten durfte und wollte	0	narrator

20	, war das Bedürfniß um so dringender, immer für ein Großes oder Allgemeines zu wirken, durch ein edles Streben und eine anregende Thätigkeit sich selbst im Gleichgewicht zu erhalten.	0	narrator

21	Ihr klarer Verstand erkannte das selbst, und halb berechnend, halb nur ahnungsvoll gestaltete sie darnach ihr Leben.	0	narrator

22	Ziemlich zwei Jahre war sie nun verheirathet.	0	narrator

23	Christoph Scheurl war nach wie vor befriedigt und stolz durch ihren Besitz, ließ sie ungehindert über seinen Reichthum verfügen und freute sich, wenn sie denselben anwendete, den Glanz und die Ehre seines Namens zu erhöhen, wie es sowohl durch Unternehmungen wie die obige geschah, als auch dadurch, daß sie die Bevorzugten des Handwerkes und der Kunst theils für sich arbeiten ließ, theils mit einem Kreise von Gelehrten um sich versammelte, und so bestrebt war, so viel als möglich nicht nur mit den andern Nürnberger Geschlechtern zu wetteifern, sondern auch den Medicäern und anderen italienischen Großen es nachzuthun, so viel es in ihren Kräften war.	0	narrator

24	Daneben erfüllte Elisabeth treulich jede Pflicht der deutschen Hausfrau, war gegen ihren Gemahl so aufmerksam wie er gegen sie, und wie er sie, ließ auch sie ihn gern in allen Stücken gewähren.	0	narrator

25	Bei ihr war die Begeisterung für die Kunst und alle höheren allgemeinen Angelegenheiten aus innerster Empfindung hervorgegangen, zum wahren Lebensbedürfniß geworden;	0	narrator

26	bei ihm war nur Eitelkeit und Ehrgeiz dabei das leitende Motiv, im Uebrigen lebte er seinen Geschäften als Kaufmann und Rathsmitglied, und fand mehr Gefallen an Zechgelagen und Schmausereien als an gelehrten Gesellschaften und Kunstbestrebungen.	0	narrator

27	Gern überließ er diese seiner Gemahlin, und diese grollte ihm ebenso wenig darüber, wenn er Tage und Nächte außer dem Hause in wüsten Gesellschaften zubrachte, die trotz der Betheiligung vornehmer und hochangesehener Rathsmitglieder keineswegs zu den mäßigen und sittenreinen gehörten.	0	narrator

