	text	label	label_text
0	Die Altertümer	0	narrator
1	Mit dem an der Spitze dieses Buches stehenden lateinischen Spruche des seligen, nunmehr längst vergessenen Egesippus führe ich die Leser in das Buch und mit dem Buche in mein altes, fern von hier stehendes Vaterhaus ein.	1	character
2	Der Spruch spielte einmal eine Rolle in einer meiner Auszeichnungen in der Schule, und schon deshalb hatte ich ihn mir für alle meine Zukunft gemerkt;	1	character
3	allein er fiel mir nachher immer wieder ein, wenn ich so in den Räumen meines Vaterhauses herum ging;	1	character
4	denn das Haus stak voll von verschiedenen Dingen unserer Vorfahren, und ich empfand wirklich, in den Dingen herum gehend, die seltsamliche Freude und das Vergnügen, von denen Egesippus in seinem Spruche sagt.	1	character
5	Dieses Vergnügen haftete aber nicht etwa bloß in dem Geiste des Kindes, sondern es wuchs mit mir auf, der ich noch immer alte Sachen gerne um mich habe und liebe.	1	character
6	Ja ich denke oft jetzt schon, da ich selber alt zu werden beginne, mit einer Gattung Vorfreude auf jene Zeit hinab, in der mein Enkel oder Urenkel unter meinen Spuren herum gehen wird, die ich jetzt mit so vieler Liebe gründe, als müßten sie für die Ewigkeit dauern, und die dann doch, wenn sie an den Enkel geraten sind, erstorben und aus der Zeit gekommen sein werden.	1	character
7	Das hastige Bauen des Greises, die Störrigkeit, auf seine Satzungen zu halten, und die Gierde, auf den Nachruhm zu lauschen, sind doch nur der dunkle, ermattende Trieb des alten Herzens, das so süße Leben noch über das Grab hinaus zu verlängern.	1	character
8	Aber er verlängert es nicht;	0	narrator
9	denn so wie er die ausgebleichten geschmacklosen Dinge seiner Vorgänger belächelt und geändert hatte, so wird es auch der Enkel tun;	1	character
10	nur mit dem traurig süßen Gefühle, mit dem man jede vergehende Zeit ansieht, wird er noch die Andenken eine Weile behalten und beschauen.	0	narrator
11	Diese Dinge empfindend erschien es mir nicht zwecklos, den Spruch des Egesippus an die Spitze eines Gedenkbuches zu stellen, das von meinem Urgroßvater und seiner Mappe handelt.	1	character
12	Ich will die Erzählung von ihm beginnen.	0	narrator
13	Mein Urgroßvater ist ein weitberühmter Doktor und Heilkünstler gewesen, sonst auch ein gar eulenspiegliger Herr und, wie sie sagen, in manchen Dingen ein Ketzer.	1	character
14	Das alles ist er auf der hohen Schule zu Prag geworden, von wo er aber, da er kaum den neuen Doktorhut auf hatte, seinem eigenen Ausdrucke nach wie ein geschnellter Pfeil fortschießen mußte, um sein Heil in der Welt zu suchen.	1	character
15	Die Ursache, warum er so schnell fort gemußt hatte, hat er, der Erzählung meines Großvaters zu Folge, nie dazu gesetzt.	1	character
16	Welche sie auch gewesen ist, so hat sie ihn doch zu jener Zeit in die schöne Waldeinsamkeit seiner Heimat geführt, wo er sofort viele Meilen in der Runde kurierte.	1	character
