text	label	label_text
Depuis un nombre innombrable d'hivers, c'est dans la maison de Norine Duclos qu'ont lieu les plus égayantes veillées de notre village.	0	narrator
Adonc, certain soir, comme j'entrais chez Norine, je la trouvai en train de prêcher ses trois petiotes.	0	narrator
— Hé ! Mandine, criait-elle, dépêche-toi de balayer la maison ; plus vite que ça ! 	1	character
Surtout n'oublie pas le coin où la femme de Jean-Claude a épluché une pomme ce matin.	1	character
Toi, la Rose, prends mon couvet et emplis-le. 	1	character
Habile, habile.	1	character
Désirée ! Monte sur l'escabeau et décroche une chandelle à la poutre ; trouve le chandelier. 	1	character
Bon ! voilà du cuivre qui terluit comme le dos d'une citrouille. 	1	character
Frotte, frotte ; là !... 	1	character
Faites excuse, Cellier, dit Norine, mais des fillettes, ça ne s'avise de rien, il faut tout leur commander.	1	character
Quand on doit parler d'une ménagère, en voilà une !	0	narrator
Elle passe, à bon droit, pour la plus regardante de Saint-Brunelle ; on se mirerait dans son armoire en noyer de même que devant un miroir, et je vous avertis que les couverts d'étain qui pendent à sa potière, brillent comme du pur argent.	0	narrator
Il paraît difficile de rencontrer dans les palais, savez-vous, trois brins de filles comme Armandine, la Rose et puis Désirée.	0	narrator
À réserve de la Rose, qui me semble une miette trop rétue pour une jeunesse de campagne, les petiotes de Norine sont capables sur beaucoup de points.	0	narrator
Tandis que ses sœurs mettent leur gloire à regarder cliqueter le feu, la Rose met sa gloire à se promener suivie d'un tas de galants.	0	narrator
Si mioche qu'elle ait été, elle a toujours passé pour garçonnière ; mais fût-ce ! comme son oncle Jean-Claude, ce n'est pas la plus bête de chez nous.	0	narrator
À la fin des fins, la maison s'emplit ; les couseuses se placent le plus près possible de la chandelle, les fileuses derrière les couseuses, et les tricoteuses n'importe où.	0	narrator
On devise de choses et d'autres, on glose à tort et à travers, et les langues tournent, tournent pareillement aux rouets des meilleures fileuses.	0	narrator
— L'hiver viendra sans oraisons, dit le père Roux, berger, en faisant trotter ses aiguilles plus vite que ses moutons.	1	character
— Taisez-vous, vieux huguenot, dit la petiote à Perpétue, vous ne savez qu'offenser le bon Dieu.	1	character
— Qu'est-ce que tu chantes là ? des psaumes ? 	1	character
Garde-les pour monsieur le curé. 	1	character
Tiens ! voilà Jean-Claude. 	1	character
Bonsoir, Jean-Claude !	1	character
— Bonsoir, mon frère, dit Norine.	1	character
— Bonsoir, la compagnie, dit Jean-Claude. 	1	character
Devinez par qui je me suis laissé suivre ? 	1	character
Par Basset et sa femme, qui s'embrassent à la porte comme s'ils étaient du pain blanc.	1	character
— Voilà une preuve qu'on peut s'aimer tout de même dans le mariage, dit le fieu du père Roux, berger, à l'oreille de la Rose.	1	character
M'est avis pourtant que la Bassette est rabotée dans le genre des planches de défunt ton père, qui était charron ; ce n'est pas comme toi.	1	character
Et, par manière de flatterie, il prit la fillette à bras-le-corps.	0	narrator
Assuré que le moment se trouvait mal choisi. 	0	narrator
La Rose n'a jamais passé pour endurante ; elle se détourna par devers Gaspard et lui fit cadeau d'une belle paire de giroflées à cinq feuilles.	0	narrator
— Combien de chandelles ? dit la malicieuse en montrant ses petiotes dents.	1	character
— Trente-six ! dit Gaspard sans broncher. 	1	character
Tant de chandelles, tant de baisers, et payés comptant, ça se doit.	1	character
Du reste, comme ses autres sœurs américaines, cette ciudad est sale, bâtie en pisé et présente aux yeux étonnés du voyageur un mélange de ruines, d'incurie et de désolation qui attriste l'âme.	0	narrator
Le jour où commence ce récit, c'est-à-dire le 17 janvier 1817, entre trois et quatre heures de l'après-midi, moment où d'ordinaire la population fait la siesta, retirée au fond de ses demeures, la ville d'Hermosillo, si calme et si tranquille d'ordinaire, offrait un aspect étrange.	0	narrator
Une foule de Leperos, de Gambusinos, de contrebandiers et surtout de Rateros se pressait avec des cris, des menaces et des hurlements sans nom, dans la calle del Rosario -- rue du Rosaire. 	0	narrator
Quelques soldats espagnols -- le Mexique à cette époque n'avait pas encore secoué le joug de la métropole -- cherchaient en vain à rétablir l'ordre et à dissiper la foule, frappant à tort et à travers à grands coups de bois de lances sur les individus qui se trouvaient devant eux.	0	narrator
Mais le tumulte loin de diminuer allait au contraire toujours croissant, les Indiens Hiaquis surtout, mêlés à la foule, criaient et gesticulaient d'une façon réellement effrayante.	0	narrator
Les fenêtres de toutes les maisons regorgeaient de têtes d'hommes et de femmes qui, les regards fixés du côté du Cerro de la campana, du pied duquel s'élevaient d'épais nuages de fumée en tourbillonnant vers le ciel, semblaient être dans l'attente d'un événement extraordinaire.	0	narrator
Tout à coup de grands cris se firent entendre, la foule se fendit en deux comme une grenade trop mûre, chacun se jeta de côté avec les marques de la plus grande frayeur et un jeune homme, un enfant plutôt car il avait à peine seize ans, apparut emporté comme dans un tourbillon par le galop furieux d'un cheval à demi sauvage.	0	narrator
– Arrêtez-le ! criaient les uns. 	1	character
— Lassez-le ! vociféraient les autres. 	1	character
— Valgamedios ! murmuraient les femmes en se signant, c'est le démon lui-même. 	1	character
Mais chacun, loin de songer à l'arrêter, l'évitait au plus vite ; le hardi garçon continuait sa course rapide, un sourire railleur aux lèvres, le visage enflammé, l'œil étincelant et distribuant à droite et à gauche de rudes coups de chicote à ceux qui se hasardaient trop près de lui, ou que leur mauvais destin empêchait de s'éloigner aussi vite qu'ils l'auraient voulu.	0	narrator
— Eh ! eh ! Caspita ! fit lorsque l'enfant le frôla en passant un vaquero à la face stupide et aux membres athlétiques, au diable soit le fou qui a manqué me renverser !  	1	character
Eh mais, ajouta-t-il après avoir jeté un regard sur le jeune homme, je ne me trompe pas, c'est Rafaël, le fils de mon compère ! attends un peu, picaro ! 	1	character
Tout en faisant cet aparté entre ses dents, le vaquero déroula le lasso qu'il portait attaché à sa ceinture et se mit à courir dans la direction du cavalier.	0	narrator
La foule qui comprit son intention applaudit avec enthousiasme.	0	narrator
– Bravo ! bravo ! cria-t-elle. 	1	character
— Ne le manque pas, Cornejo ! appuyèrent des vaqueros en battant des mains. 	1	character
Cornejo, puisque nous savons le nom de cet intéressant personnage, se rapprochait insensiblement de l'enfant devant lequel les obstacles se multipliaient de plus en plus.	0	narrator
Averti du péril qui le menaçait par les cris des assistants, le cavalier tourna la tête.	0	narrator
Alors, il vit le vaquero.	0	narrator
Une pâleur livide couvrit son visage, il comprit qu'il était perdu.	0	narrator
– Laisse-moi me sauver, Cornejo, lui cria-t-il avec des larmes dans la voix. 	1	character
– Non ! non ! hurla la foule, lassez-le ! lassez-le ! 	1	character
Je suis toute petite.	0	narrator
On m'a dit que j'avais deux ans et demi. 	0	narrator
