	text	label	label_text
0	Prolog.		
1	"Es war an einem Abende in der Mitte des Septembers 1849, als unter den Bäumen des 
Parks vor City-Hall in New-York ein junger Mann lässig auf einer der dort 
angebrachten Bänke ruhte."		
2	"Er hatte den Strohhut abgenommen und das volle dunkle Haar 
der Abendluft preisgegeben."		
3	"Die Sommerkleidung, die er trug, war sauber und von 
elegantem Schnitte und das strohgelbe seidene Halstuch, über welches zwanglos der 
blendend weiße Kragen fiel, stach gefällig von seinem leicht gebräunten, kräftigen 
Halse ab."		
4	"Eine fein geschnittene Nase, mit dem schwarzen, wohlgepflegten Schnurrbarte 
darunter und den regelmäßig gezeichneten Brauen darüber"		
5	", gaben seinem Gesichte einen 
Anstrich von Noblesse, während die zwei Furchen an der Nasenwurzel und das leicht in 
die Höhe gezogene Kinn ihm den Charakter einer festen Bestimmtheit aufdrückten. 
Seine Augen hatten bisher planlos über alle die Gestalten, welche geschäftig den 
Platz durchkreuzten, hinweg geschweift;"		
6	"in diesem Augenblicke aber waren sie 
plötzlich auf einem Punkte haften geblieben, der sein besonderes Interesse zu erregen 
schien."		
7	"Vom Broadway aus war eine der fashionable gekleideten Damen, wie sie diesen 
Theil der Stadt bevölkern, in den Park getreten und bog jetzt in einen Seitenweg ein, 
der dicht an dem Sitze des jungen Mannes vorüberführte. 
»Da ist sie wahrhaftig wieder, und dies ist heute der dritte Abend, an dem sie um 
dieselbe Zeit kommt!«"		
8	brummte der Dasitzende vor sich hin.		
9	"»Wäre ich eitel, so könnte 
ich denken, ich hätte eine Eroberung gemacht!«"		
10	Die Dame näherte sich.		
11	"Unter dem eleganten Hut sah ein frisches, kokettes 
Gesicht hervor und den kleinen aufgeworfenen Mund umspielte ein Lächeln der 
Befriedigung, als sie den Inhaber der Bank bemerkte."		
12	"Ihr Schritt zögerte, als sei sie 
ungewiß, was zu thun;"		
13	"doch wie in raschem Entschlusse trat sie plötzlich heran und 
wandte sich mit einigen halblauten Worten an den jungen Mann."		
14	"Der war überrascht 
aufgesprungen, denn er konnte nur in peinlicher Verlegenheit den Kopf schütteln;"		
15	"er 
wußte wohl, was er höre, sei englisch, aber er verstand bis jetzt noch kein Wort"		
16	davon		
17	"Ein neues Lächeln umspielte den hübschen Mund vor ihm – sie ließ die Augen 
prüfend über sein Gesicht laufen, fast etwas zu dreist, wie es ihm scheinen wollte;"		
18	"als sich jetzt aber die Schritte eines Dritten der Bank näherten, wandte sie sich mit 
einem »Beg your pardon, Sir!« weg und ging davon."		
19	"Der Andere sah ihr kopfschüttelnd nach, bis ihn ein Schlag auf die Achsel aus seiner 
Verwunderung riß."		
20	»Guten Abend, Herr von Helmstedt, wie geht's Hochdenen		
